Geneid,NEGF1,NEGF1yuan,NEGF2yuan,NEGF3,NEGF3yuan
ENSG00000212460,0,0,0,0,0
ENSG00000199880,0,0,0,0,0
ENSG00000112983,983,1055,1100,987,1026
ENSG00000112984,1438,2418,2441,1444,2523
ENSG00000094880,479,662,528,474,670
ENSG00000146013,0,2,0,0,0
ENSG00000249851,2,0,0,1,0
ENSG00000158402,132,158,157,155,183
ENSG00000120709,1105,1210,1211,1199,1073
ENSG00000249971,0,0,0,0,0
ENSG00000120733,1424,1784,1749,1537,1846
ENSG00000132563,270,331,368,316,360
ENSG00000271196,0,0,1,0,0
ENSG00000120738,6680,635,1853,6627,1895
ENSG00000241458,2,3,0,3,1
ENSG00000120705,1766,2766,2526,1943,2796
ENSG00000113013,2429,3186,2645,2500,3121
ENSG00000222937,0,0,0,0,0
ENSG00000206989,0,0,0,0,0
ENSG00000044115,5694,7653,7100,5922,7806
ENSG00000232174,0,0,0,0,0
ENSG00000238745,0,0,0,0,0
ENSG00000253404,0,0,0,0,2
ENSG00000146006,14,9,5,18,11
ENSG00000120725,699,800,898,772,870
ENSG00000201532,0,0,0,1,1
ENSG00000249593,1,2,1,2,0
ENSG00000242683,0,0,0,0,0
ENSG00000252533,0,0,0,0,0
ENSG00000280987,6,4,6,5,8
ENSG00000281398,75,193,160,114,191
ENSG00000252213,0,2,5,0,3
ENSG00000200959,0,0,0,0,0
ENSG00000015479,68,62,47,61,51
ENSG00000199545,0,0,2,0,3
ENSG00000253015,0,0,0,2,0
ENSG00000120727,353,517,549,357,603
ENSG00000272742,0,0,0,0,0
ENSG00000170482,17,8,9,19,7
ENSG00000170476,3,0,0,0,0
ENSG00000228672,251,385,443,262,396
ENSG00000170469,36,29,53,25,31
ENSG00000170464,259,249,193,248,225
ENSG00000279686,0,0,0,0,0
ENSG00000200378,0,0,0,0,0
ENSG00000249751,0,0,1,0,3
ENSG00000283288,1,4,0,3,1
ENSG00000184584,1323,1915,2204,1259,2059
ENSG00000249689,0,0,0,0,0
ENSG00000249215,0,0,0,2,0
ENSG00000286403,0,0,2,0,0
ENSG00000131508,1334,1486,1737,1350,1738
ENSG00000207020,0,0,0,0,0
ENSG00000275506,1,1,0,1,0
ENSG00000272255,2,2,0,0,0
ENSG00000171604,866,1046,1060,830,1000
ENSG00000250635,0,0,2,0,1
ENSG00000249526,0,0,0,0,0
ENSG00000200756,0,0,0,0,0
ENSG00000249131,0,0,1,0,0
ENSG00000251387,0,0,0,0,0
ENSG00000271792,0,0,0,0,0
ENSG00000146005,6,6,3,10,7
ENSG00000158458,8,8,8,7,1
ENSG00000250692,0,0,0,0,0
ENSG00000207317,0,0,0,0,0
ENSG00000245146,23,34,30,17,34
ENSG00000185129,1052,1136,906,1018,977
ENSG00000182700,247,115,101,283,101
ENSG00000254363,22,3,16,15,11
ENSG00000120306,182,141,153,131,133
ENSG00000250069,0,1,0,6,0
ENSG00000113068,622,1132,1086,669,1268
ENSG00000113070,45,81,79,54,101
ENSG00000253965,0,0,1,1,1
ENSG00000113073,0,0,1,2,0
ENSG00000249637,2,2,3,0,1
ENSG00000222790,0,0,0,0,0
ENSG00000131503,49,59,43,52,47
ENSG00000254996,62,41,34,67,35
ENSG00000200051,0,0,0,0,3
ENSG00000213523,444,748,776,435,782
ENSG00000243056,8,9,16,11,4
ENSG00000113108,213,210,191,198,238
ENSG00000283155,0,0,0,2,0
ENSG00000283717,0,0,0,0,0
ENSG00000176087,910,1356,1381,1072,1319
ENSG00000283602,6,1,1,0,0
ENSG00000200235,0,0,0,0,0
ENSG00000251453,1,0,1,0,1
ENSG00000240518,0,0,0,0,0
ENSG00000170458,15,27,38,6,37
ENSG00000131495,203,479,444,201,448
ENSG00000113119,104,105,158,103,137
ENSG00000113141,855,1239,1214,818,1299
ENSG00000284325,0,0,0,0,0
ENSG00000120314,393,642,647,445,779
ENSG00000256453,0,0,0,0,0
ENSG00000170445,1024,1581,1678,1003,1655
ENSG00000112855,348,575,511,393,588
ENSG00000146007,623,894,814,564,1008
ENSG00000199990,0,0,0,0,0
ENSG00000202111,18,26,18,18,20
ENSG00000202515,0,0,0,0,0
ENSG00000250515,0,0,0,0,0
ENSG00000248106,0,0,0,0,0
ENSG00000279726,0,0,0,0,0
ENSG00000204970,0,0,0,0,0
ENSG00000204969,0,0,0,1,1
ENSG00000255408,1,1,3,0,4
ENSG00000204967,11,6,2,10,2
ENSG00000204965,0,0,0,0,0
ENSG00000081842,5,9,4,1,3
ENSG00000204963,13,20,15,11,20
ENSG00000204962,3,0,0,3,3
ENSG00000204961,0,0,0,0,0
ENSG00000278907,0,0,0,0,0
ENSG00000250120,7,4,3,11,4
ENSG00000249504,0,0,0,0,0
ENSG00000278946,0,0,0,0,0
ENSG00000249158,0,3,2,0,0
ENSG00000251664,0,2,2,0,1
ENSG00000278915,0,0,0,0,0
ENSG00000278901,0,0,0,0,0
ENSG00000239389,0,0,0,0,0
ENSG00000248383,0,1,5,0,2
ENSG00000279028,0,0,0,0,0
ENSG00000243232,0,1,1,0,3
ENSG00000279047,0,0,0,0,0
ENSG00000171815,0,0,0,0,0
ENSG00000279558,0,0,0,0,0
ENSG00000112852,23,13,15,23,13
ENSG00000272154,0,0,0,0,0
ENSG00000113205,11,14,12,19,16
ENSG00000272108,2,3,1,3,0
ENSG00000081818,9,2,4,4,5
ENSG00000113209,11,9,12,13,7
ENSG00000280029,0,0,0,1,0
ENSG00000113211,6,8,1,0,6
ENSG00000255622,5,0,0,1,0
ENSG00000280336,0,0,0,0,0
ENSG00000113212,13,2,3,10,5
ENSG00000120322,7,2,1,2,3
ENSG00000279472,0,0,0,0,0
ENSG00000272674,12,12,7,7,2
ENSG00000279068,0,0,0,0,0
ENSG00000278936,0,0,0,0,0
ENSG00000177839,5,3,7,8,3
ENSG00000279375,0,0,0,0,0
ENSG00000120324,18,4,2,11,12
ENSG00000197479,2,0,1,5,1
ENSG00000120328,4,1,1,3,0
ENSG00000187372,15,12,11,24,10
ENSG00000120327,36,15,9,21,8
ENSG00000279983,0,0,0,0,0
ENSG00000146001,1,3,5,2,1
ENSG00000262096,3,0,0,3,1
ENSG00000113248,1,5,7,6,6
ENSG00000277795,0,0,0,2,0
ENSG00000178913,1031,1459,1292,1062,1442
ENSG00000120329,0,1,1,0,2
ENSG00000288095,0,2,1,0,3
ENSG00000272070,8,13,4,15,18
ENSG00000204956,25,28,28,25,25
ENSG00000081853,127,133,144,114,105
ENSG00000254245,98,56,73,69,49
ENSG00000254221,37,26,20,21,26
ENSG00000280026,0,0,0,0,0
ENSG00000262576,115,130,134,154,117
ENSG00000253910,98,69,72,120,64
ENSG00000253485,48,43,36,56,33
ENSG00000262209,86,83,72,91,76
ENSG00000253731,147,205,171,168,187
ENSG00000253537,235,180,176,243,165
ENSG00000253953,250,388,314,231,359
ENSG00000253767,24,27,35,48,39
ENSG00000276547,637,677,667,594,602
ENSG00000261934,65,51,46,64,37
ENSG00000253305,98,53,47,100,67
ENSG00000253846,300,150,162,273,134
ENSG00000254122,480,244,235,536,267
ENSG00000253873,363,285,314,377,306
ENSG00000248449,8,8,6,4,6
ENSG00000279855,0,0,0,0,0
ENSG00000253159,758,652,750,781,698
ENSG00000276545,9,2,5,9,4
ENSG00000273557,2,0,0,3,3
ENSG00000240184,1936,1653,1787,1930,1641
ENSG00000242020,2,3,1,0,0
ENSG00000242419,34,26,28,10,15
ENSG00000240764,41,17,36,36,24
ENSG00000131504,1814,2674,2684,1808,2691
ENSG00000246422,1,0,0,1,4
ENSG00000240974,1,2,0,3,0
ENSG00000228737,2,0,0,0,0
ENSG00000171720,789,946,933,736,942
ENSG00000164620,53,87,102,62,105
ENSG00000197948,828,1181,1378,826,1208
ENSG00000120318,937,1033,1227,950,1048
ENSG00000286736,0,0,0,0,0
ENSG00000287527,0,0,0,0,0
ENSG00000278925,0,0,0,0,0
ENSG00000156453,22,3,3,17,3
ENSG00000287726,0,0,0,0,0
ENSG00000226040,0,0,1,0,0
ENSG00000081791,764,910,991,753,953
ENSG00000113555,17,13,21,22,23
ENSG00000271871,1,1,0,0,0
ENSG00000013561,463,689,534,445,646
ENSG00000254099,9,0,3,4,0
ENSG00000113552,617,688,658,642,684
ENSG00000250347,0,0,0,0,0
ENSG00000131507,1360,2065,1615,1424,2020
ENSG00000280047,15,10,8,17,10
ENSG00000187678,736,954,1063,764,914
ENSG00000277968,6,8,8,9,16
ENSG00000274721,3,4,2,6,11
ENSG00000231185,14,4,5,4,17
ENSG00000225147,0,0,0,0,0
ENSG00000113578,148,265,198,163,258
ENSG00000261757,1,0,0,3,0
ENSG00000236714,8,5,4,3,3
ENSG00000287203,0,0,0,0,0
ENSG00000145819,358,121,163,461,160
ENSG00000226272,1,0,0,0,1
ENSG00000285366,1,0,0,0,0
ENSG00000230789,0,0,0,0,0
ENSG00000113580,1802,1616,1440,1903,1631
ENSG00000231579,34,42,48,33,46
ENSG00000279679,2,0,0,0,0
ENSG00000279130,0,0,0,0,0
ENSG00000249429,0,0,0,0,0
ENSG00000251205,1,5,6,1,3
ENSG00000253023,0,0,0,0,0
ENSG00000249881,1,0,0,0,0
ENSG00000266478,0,0,0,0,0
ENSG00000225869,0,0,0,0,0
ENSG00000158497,0,0,0,0,0
ENSG00000239390,0,0,0,0,0
ENSG00000145817,1326,2076,1691,1407,2064
ENSG00000183775,25,15,20,21,18
ENSG00000249605,0,0,0,0,0
ENSG00000285605,0,0,0,0,0
ENSG00000250972,0,0,0,0,0
ENSG00000213488,0,0,0,0,0
ENSG00000201423,0,0,0,0,0
ENSG00000251031,0,0,0,0,1
ENSG00000249229,0,0,0,0,0
ENSG00000215325,9,3,4,18,6
ENSG00000250842,2,3,1,2,1
ENSG00000248125,0,0,0,0,0
ENSG00000186314,36,49,49,43,59
ENSG00000249363,3,1,5,0,4
ENSG00000204928,0,0,0,0,0
ENSG00000156463,2,13,10,4,4
ENSG00000248493,0,0,0,1,1
ENSG00000173261,2,6,1,5,0
ENSG00000251556,0,1,1,0,2
ENSG00000133706,1817,1819,1680,1933,1849
ENSG00000239602,2,0,0,0,1
ENSG00000239317,0,0,0,0,0
ENSG00000275740,0,0,0,0,0
ENSG00000091009,251,305,207,330,322
ENSG00000238374,0,0,0,0,0
ENSG00000250025,0,0,0,0,0
ENSG00000091010,0,2,1,0,1
ENSG00000271724,0,0,0,0,0
ENSG00000248842,0,0,0,0,0
ENSG00000113649,1070,1329,1174,1173,1296
ENSG00000277568,1,0,0,0,0
ENSG00000173250,0,0,0,0,0
ENSG00000250407,0,0,0,0,0
ENSG00000156475,0,8,6,0,5
ENSG00000280646,0,0,0,0,0
ENSG00000241291,0,0,0,0,0
ENSG00000248568,0,0,0,0,0
ENSG00000249553,0,0,0,0,0
ENSG00000286468,0,0,0,0,0
ENSG00000250343,0,0,0,0,0
ENSG00000169302,23,7,19,13,11
ENSG00000113657,2706,1328,1179,2684,1336
ENSG00000272239,0,0,0,0,0
ENSG00000280780,0,0,0,2,0
ENSG00000176049,3,2,0,5,7
ENSG00000287630,0,0,0,0,0
ENSG00000164266,0,0,0,0,0
ENSG00000249518,0,0,0,0,0
ENSG00000164265,0,0,0,0,0
ENSG00000178776,0,0,2,0,0
ENSG00000248362,0,0,0,0,0
ENSG00000251320,0,0,0,0,0
ENSG00000250346,0,0,0,0,0
ENSG00000133710,0,0,0,0,3
ENSG00000247199,2,3,3,5,6
ENSG00000196800,0,0,0,0,0
ENSG00000178172,0,0,0,0,0
ENSG00000249503,0,0,0,0,0
ENSG00000248109,0,0,0,0,0
ENSG00000214510,0,0,0,0,0
ENSG00000249834,0,0,0,0,0
ENSG00000145879,0,0,0,0,0
ENSG00000204909,1,0,0,0,0
ENSG00000283653,0,0,0,0,0
ENSG00000145868,658,818,664,659,828
ENSG00000274799,2,0,0,0,0
ENSG00000251330,6,6,3,9,1
ENSG00000164270,0,0,1,0,0
ENSG00000253297,0,0,0,0,0
ENSG00000169252,37,107,88,43,98
ENSG00000169247,63,268,294,99,242
ENSG00000272411,1,0,1,0,1
ENSG00000251842,0,0,0,0,0
ENSG00000207714,0,0,0,0,0
ENSG00000250072,0,5,3,0,3
ENSG00000200161,0,0,0,0,0
ENSG00000173210,2677,2432,2316,2649,2250
ENSG00000248647,0,0,3,0,0
ENSG00000253406,4,8,9,10,4
ENSG00000157510,318,251,228,316,278
ENSG00000285736,0,1,0,5,0
ENSG00000164284,348,238,234,345,284
ENSG00000253618,2,1,2,1,0
ENSG00000145882,179,211,233,149,248
ENSG00000127743,2,2,2,2,1
ENSG00000253865,0,0,0,1,0
ENSG00000249669,1102,864,776,1034,820
ENSG00000275871,0,0,0,0,0
ENSG00000284182,0,0,0,0,0
ENSG00000276365,29,21,19,39,15
ENSG00000113712,2729,3005,3021,2896,3109
ENSG00000230551,276,191,144,273,169
ENSG00000241112,10,4,4,7,2
ENSG00000183111,27,11,13,22,24
ENSG00000222213,0,0,0,0,0
ENSG00000287323,0,0,0,0,0
ENSG00000221043,0,0,0,0,0
ENSG00000242928,0,0,0,0,0
ENSG00000155846,8,23,22,10,12
ENSG00000199047,0,0,0,0,0
ENSG00000132915,2,0,1,0,3
ENSG00000251583,4,4,2,1,5
ENSG00000200334,0,0,0,0,0
ENSG00000155850,508,831,622,569,737
ENSG00000164296,93,113,101,70,96
ENSG00000113716,1389,1845,2008,1284,1804
ENSG00000248696,0,0,0,0,1
ENSG00000241907,5,4,1,6,2
ENSG00000182578,12,12,15,7,13
ENSG00000214485,1874,2730,1967,2015,2798
ENSG00000199409,0,0,0,0,0
ENSG00000113721,11255,10066,11222,11549,10475
ENSG00000113722,5,0,0,7,1
ENSG00000011083,0,0,0,0,0
ENSG00000070808,34,23,32,41,30
ENSG00000183876,396,540,632,426,599
ENSG00000070814,1458,1350,1701,1273,1407
ENSG00000019582,47,20,19,42,13
ENSG00000286331,5,2,2,6,4
ENSG00000164587,6062,6779,7793,5432,7642
ENSG00000254333,1,0,0,4,2
ENSG00000070614,5941,6656,7194,6097,6559
ENSG00000171992,2308,2704,3345,2539,2774
ENSG00000253852,0,0,0,0,0
ENSG00000286657,1,0,1,0,0
ENSG00000164591,20,26,42,35,28
ENSG00000250309,0,0,0,0,0
ENSG00000086589,581,740,697,566,803
ENSG00000132912,1089,1489,1230,1224,1485
ENSG00000256235,761,439,458,754,499
ENSG00000237693,0,3,2,2,1
ENSG00000145908,161,286,232,195,281
ENSG00000197083,45,50,53,46,49
ENSG00000274235,1,0,0,0,0
ENSG00000277866,0,0,0,0,0
ENSG00000211445,51,76,76,44,67
ENSG00000145901,4825,2610,3105,4523,2785
ENSG00000197043,6635,10327,10667,6706,11462
ENSG00000254298,1,1,0,0,0
ENSG00000285420,0,0,0,0,1
ENSG00000198624,177,81,79,168,83
ENSG00000196743,898,976,794,943,1062
ENSG00000186334,1,0,1,0,2
ENSG00000186335,0,0,0,0,0
ENSG00000270904,0,0,0,0,0
ENSG00000253897,0,0,0,0,0
ENSG00000253472,0,0,0,0,0
ENSG00000271494,0,1,0,0,0
ENSG00000123643,438,608,651,465,621
ENSG00000200227,0,0,0,0,1
ENSG00000086570,21,14,11,12,7
ENSG00000271795,9,1,2,13,8
ENSG00000276622,0,0,0,0,0
ENSG00000288081,0,0,0,0,0
ENSG00000260581,1,0,0,0,0
ENSG00000113140,34994,31707,34335,35495,32501
ENSG00000249035,20,35,42,34,53
ENSG00000222102,0,0,0,0,0
ENSG00000272112,0,0,0,0,0
ENSG00000177556,265,392,402,221,432
ENSG00000253921,1,2,3,0,0
ENSG00000213433,3,5,5,4,4
ENSG00000275765,12,17,25,12,16
ENSG00000145907,3414,3756,3245,3652,3835
ENSG00000145888,0,0,0,0,0
ENSG00000270978,2,0,0,0,1
ENSG00000222308,0,0,0,0,0
ENSG00000254226,0,0,0,5,0
ENSG00000286749,0,0,0,0,0
ENSG00000132911,0,0,0,0,0
ENSG00000242080,0,0,0,0,0
ENSG00000249484,0,0,0,0,0
ENSG00000155511,1365,471,390,1489,391
ENSG00000242976,0,0,2,0,0
ENSG00000251183,0,0,0,0,0
ENSG00000261382,1,0,0,1,0
ENSG00000055147,394,415,325,378,393
ENSG00000037749,709,885,681,912,794
ENSG00000164574,1794,2903,3067,1818,2991
ENSG00000245275,39,74,73,31,67
ENSG00000253119,0,0,0,0,0
ENSG00000287695,0,1,0,0,0
ENSG00000221430,0,0,0,0,0
ENSG00000241963,0,0,0,0,1
ENSG00000164576,924,704,686,908,722
ENSG00000113196,0,0,0,0,0
ENSG00000254293,0,0,0,0,0
ENSG00000253886,4,1,3,1,4
ENSG00000253146,0,0,0,3,0
ENSG00000264760,0,0,0,0,0
ENSG00000221552,0,0,0,0,0
ENSG00000274472,0,0,0,0,0
ENSG00000155506,4343,5147,5524,4461,5101
ENSG00000272197,0,0,0,0,0
ENSG00000241187,0,0,1,0,0
ENSG00000170271,406,263,225,340,262
ENSG00000277039,3,0,0,3,0
ENSG00000263361,1,1,1,3,2
ENSG00000155508,708,960,806,803,889
ENSG00000082516,372,597,485,473,567
ENSG00000082515,197,338,389,199,340
ENSG00000253261,0,0,0,0,0
ENSG00000226650,26,29,27,13,27
ENSG00000287963,0,0,0,0,0
ENSG00000253646,0,0,0,0,0
ENSG00000271477,0,0,0,0,0
ENSG00000270442,0,0,0,0,0
ENSG00000200275,0,0,0,0,0
ENSG00000170624,465,113,70,436,97
ENSG00000286690,0,0,0,0,0
ENSG00000253370,0,0,0,0,0
ENSG00000254163,0,0,0,0,0
ENSG00000199468,0,0,0,0,0
ENSG00000231989,12,27,18,15,15
ENSG00000145850,0,0,0,1,0
ENSG00000270560,0,0,0,0,0
ENSG00000113249,1,0,0,5,0
ENSG00000135077,2,1,1,1,0
ENSG00000254246,0,0,0,0,0
ENSG00000155868,101,127,136,112,130
ENSG00000113263,0,0,0,0,0
ENSG00000170613,0,0,0,0,0
ENSG00000253980,0,0,0,0,0
ENSG00000253653,0,0,0,0,0
ENSG00000055163,168,189,186,166,176
ENSG00000285868,0,10,6,3,1
ENSG00000172568,0,0,0,0,0
ENSG00000251405,1,1,1,5,2
ENSG00000248544,1,4,3,2,3
ENSG00000135074,933,1743,1856,989,1786
ENSG00000253155,0,0,0,0,2
ENSG00000172548,7,18,9,17,7
ENSG00000253519,0,0,0,0,1
ENSG00000252068,0,0,0,0,0
ENSG00000254336,0,0,0,0,0
ENSG00000039600,7,6,4,7,11
ENSG00000187658,0,0,1,0,3
ENSG00000253798,0,0,0,0,0
ENSG00000113272,200,225,236,219,203
ENSG00000155858,153,94,107,151,122
ENSG00000253630,0,0,0,1,0
ENSG00000113282,1300,1946,1596,1303,1821
ENSG00000206819,0,0,0,1,0
ENSG00000244331,1,1,1,0,1
ENSG00000222626,0,0,0,0,0
ENSG00000253743,0,0,0,0,0
ENSG00000213414,1,0,0,1,0
ENSG00000253422,0,0,0,0,0
ENSG00000253792,0,0,0,0,0
ENSG00000253673,0,0,0,0,0
ENSG00000254047,0,0,0,0,0
ENSG00000253449,0,0,0,0,0
ENSG00000253424,0,0,0,0,0
ENSG00000253134,0,0,0,0,0
ENSG00000276778,0,0,0,0,0
ENSG00000254350,0,0,0,0,0
ENSG00000272085,0,0,0,0,0
ENSG00000254135,0,0,0,0,0
ENSG00000164330,84,103,87,109,68
ENSG00000253811,0,0,0,0,0
ENSG00000253456,0,0,1,0,2
ENSG00000245812,2,1,0,1,3
ENSG00000279204,2,0,1,0,2
ENSG00000145860,1260,1145,1044,1284,1138
ENSG00000253256,0,0,0,0,0
ENSG00000253315,0,0,0,0,0
ENSG00000252458,0,0,0,0,0
ENSG00000164332,364,641,467,409,629
ENSG00000249738,0,1,4,2,1
ENSG00000113302,0,1,1,0,0
ENSG00000221601,0,0,0,0,0
ENSG00000253298,0,0,0,0,0
ENSG00000283413,0,1,1,0,1
ENSG00000253311,0,2,1,0,1
ENSG00000170214,25,242,274,17,284
ENSG00000248626,3,4,4,3,6
ENSG00000199398,0,0,0,0,0
ENSG00000113312,546,713,643,477,734
ENSG00000223908,1,3,3,3,3
ENSG00000170234,280,322,291,311,302
ENSG00000170231,0,0,1,0,2
ENSG00000247699,0,0,0,0,1
ENSG00000253772,0,0,0,0,0
ENSG00000135083,9,17,22,7,21
ENSG00000254373,4,8,7,10,14
ENSG00000270612,1,0,0,0,0
ENSG00000145861,49,44,65,60,42
ENSG00000221886,73,84,52,70,71
ENSG00000164609,669,738,632,635,791
ENSG00000164611,645,1060,840,625,1242
ENSG00000253522,17,2,4,13,3
ENSG00000265237,0,0,0,0,0
ENSG00000283733,0,0,0,0,0
ENSG00000118322,0,0,0,1,2
ENSG00000253687,0,0,0,0,0
ENSG00000254391,0,0,0,0,0
ENSG00000253417,0,0,0,0,0
ENSG00000145864,0,0,0,0,0
ENSG00000145863,0,0,0,0,0
ENSG00000253403,0,0,0,0,0
ENSG00000118990,0,1,0,0,0
ENSG00000022355,0,0,0,0,0
ENSG00000280776,0,0,0,0,0
ENSG00000113327,0,0,0,0,1
ENSG00000254186,0,0,0,0,0
ENSG00000201474,0,0,0,0,0
ENSG00000254351,0,0,0,0,0
ENSG00000249449,0,0,0,0,0
ENSG00000250114,0,0,0,0,0
ENSG00000113328,2980,3909,2646,3275,3563
ENSG00000170584,267,343,361,301,367
ENSG00000072571,488,534,450,450,483
ENSG00000251018,0,2,0,0,2
ENSG00000038274,731,943,714,746,931
ENSG00000285590,0,0,0,0,0
ENSG00000224012,0,0,0,0,0
ENSG00000251998,0,0,0,0,0
ENSG00000273569,0,0,0,0,0
ENSG00000271679,0,0,0,0,0
ENSG00000253331,0,0,0,0,0
ENSG00000253538,0,0,0,0,0
ENSG00000241956,0,0,0,0,1
ENSG00000253236,0,0,0,0,0
ENSG00000253600,0,0,0,0,0
ENSG00000206845,0,0,0,0,0
ENSG00000285549,0,0,0,0,0
ENSG00000254066,0,0,0,0,0
ENSG00000253693,0,0,0,0,0
ENSG00000252794,0,0,0,0,0
ENSG00000253512,1,0,0,0,0
ENSG00000253946,0,0,0,0,0
ENSG00000254252,0,0,0,0,0
ENSG00000254171,0,0,0,0,0
ENSG00000229119,2906,4166,3188,3067,4387
ENSG00000254130,0,0,0,0,0
ENSG00000253713,0,0,0,0,0
ENSG00000253469,0,0,0,0,0
ENSG00000145934,56,75,78,94,71
ENSG00000254365,0,0,0,0,0
ENSG00000254297,0,0,0,0,0
ENSG00000253527,0,0,0,0,0
ENSG00000254187,0,0,0,0,0
ENSG00000253357,1,0,0,0,2
ENSG00000253660,0,0,0,0,0
ENSG00000253947,0,0,0,0,0
ENSG00000253065,0,0,0,0,0
ENSG00000253925,0,0,0,0,0
ENSG00000279739,0,0,0,0,0
ENSG00000253978,0,0,0,1,0
ENSG00000113645,183,88,88,176,109
ENSG00000113643,1434,2049,1661,1458,2292
ENSG00000188573,0,0,3,2,2
ENSG00000120137,1314,1522,1101,1472,1355
ENSG00000253861,0,0,0,0,0
ENSG00000199035,0,0,0,0,0
ENSG00000283612,0,0,0,0,0
ENSG00000233913,1414,1740,1485,1317,1819
ENSG00000254192,3,0,2,0,0
ENSG00000184347,1594,1187,1282,1580,1088
ENSG00000254042,0,0,3,0,0
ENSG00000207739,0,0,1,0,0
ENSG00000202345,0,0,0,0,0
ENSG00000248965,0,0,1,0,1
ENSG00000279752,0,1,0,0,1
ENSG00000248222,2,2,1,1,5
ENSG00000207619,0,0,0,0,0
ENSG00000206614,0,0,0,0,0
ENSG00000040275,652,908,712,705,888
ENSG00000134516,266,407,401,292,404
ENSG00000253269,0,0,0,0,0
ENSG00000204767,240,582,451,191,581
ENSG00000263831,0,0,0,0,0
ENSG00000168269,0,0,0,0,0
ENSG00000253219,0,0,0,0,0
ENSG00000249601,0,0,0,0,0
ENSG00000234511,0,0,0,0,1
ENSG00000043462,0,0,0,0,0
ENSG00000288615,0,0,0,0,0
ENSG00000235172,1,2,1,0,0
ENSG00000250274,0,0,0,0,0
ENSG00000182132,0,0,0,0,2
ENSG00000145936,0,0,0,0,0
ENSG00000253647,0,0,0,0,0
ENSG00000253858,0,0,0,0,0
ENSG00000253591,0,0,1,0,0
ENSG00000253348,0,0,0,0,0
ENSG00000094755,0,0,0,0,0
ENSG00000204764,141,182,176,125,159
ENSG00000244501,0,0,0,0,0
ENSG00000253966,0,3,1,1,3
ENSG00000253213,2,1,5,3,2
ENSG00000275038,0,0,0,0,3
ENSG00000164438,0,0,1,0,0
ENSG00000213393,0,0,0,0,0
ENSG00000265740,0,0,0,0,0
ENSG00000254256,0,0,0,0,0
ENSG00000206909,0,0,0,0,0
ENSG00000254012,6,3,3,1,4
ENSG00000264249,0,0,0,0,0
ENSG00000181163,2128,3486,3327,2081,3455
ENSG00000156427,2,0,7,1,0
ENSG00000288639,0,0,0,0,0
ENSG00000285914,0,0,0,0,0
ENSG00000253110,0,0,0,0,0
ENSG00000185662,0,0,0,0,3
ENSG00000072803,1246,1519,1314,1215,1487
ENSG00000072786,920,1556,1844,963,1607
ENSG00000214360,0,0,0,0,0
ENSG00000168246,661,647,566,707,661
ENSG00000212529,3,0,0,0,0
ENSG00000253218,0,0,0,0,2
ENSG00000174705,2452,1371,1485,2321,1430
ENSG00000287814,0,0,0,0,0
ENSG00000254299,0,0,0,0,0
ENSG00000280318,0,0,0,0,0
ENSG00000214357,463,430,514,450,453
ENSG00000253683,248,574,732,197,619
ENSG00000265160,0,0,0,0,0
ENSG00000253445,0,0,0,0,0
ENSG00000253295,2,0,0,0,2
ENSG00000213386,0,0,3,1,1
ENSG00000253736,0,0,1,1,1
ENSG00000120129,971,2270,2362,982,2300
ENSG00000206741,0,0,0,0,0
ENSG00000270243,0,0,0,0,0
ENSG00000253628,0,0,0,0,0
ENSG00000113719,3554,4380,4586,3393,4518
ENSG00000204758,8,21,28,15,34
ENSG00000254295,0,0,0,0,0
ENSG00000037241,108,349,357,138,416
ENSG00000253785,112,99,68,109,89
ENSG00000113732,1429,2506,2600,1432,2710
ENSG00000254328,0,0,2,2,1
ENSG00000212402,2,0,0,0,0
ENSG00000207210,0,0,0,0,0
ENSG00000164463,716,353,276,800,328
ENSG00000253439,2,0,0,2,0
ENSG00000253172,0,2,0,1,0
ENSG00000113734,136,172,150,145,179
ENSG00000254200,0,0,0,0,0
ENSG00000183072,0,0,0,3,0
ENSG00000201277,0,0,0,0,0
ENSG00000252169,0,0,0,0,0
ENSG00000113739,15901,11578,13358,15205,12235
ENSG00000274994,0,0,0,0,0
ENSG00000199219,0,0,0,0,0
ENSG00000253968,2,1,0,1,1
ENSG00000253141,6,2,2,9,1
ENSG00000253768,3,0,3,2,0
ENSG00000254164,1,0,3,2,0
ENSG00000253955,10,2,2,12,1
ENSG00000145919,937,964,1015,975,1030
ENSG00000253959,0,0,0,0,0
ENSG00000253428,0,0,0,0,0
ENSG00000253686,0,0,0,0,0
ENSG00000287003,0,0,0,0,0
ENSG00000254211,0,0,0,0,0
ENSG00000113742,530,614,493,599,544
ENSG00000185056,0,0,1,0,0
ENSG00000253109,0,0,0,0,0
ENSG00000170091,2,0,0,2,0
ENSG00000253244,0,0,0,0,0
ENSG00000253447,0,0,0,0,0
ENSG00000254011,0,0,0,0,0
ENSG00000249722,0,0,0,0,0
ENSG00000249306,0,0,0,0,0
ENSG00000213376,2,0,6,1,2
ENSG00000249031,1,0,0,0,0
ENSG00000250256,0,0,0,0,0
ENSG00000248929,0,0,0,0,0
ENSG00000120149,191,36,47,203,35
ENSG00000251670,0,0,0,0,0
ENSG00000266890,0,0,0,1,0
ENSG00000251144,11,5,7,10,5
ENSG00000204754,0,0,0,0,0
ENSG00000251122,0,0,0,0,1
ENSG00000248293,0,0,0,0,0
ENSG00000249403,0,0,0,0,0
ENSG00000248355,0,0,0,0,0
ENSG00000184845,0,3,4,1,0
